occ_4_digit,lives_with_health_worker,lives_with_health_worker_1,lives_with_health_worker_2,lives_with_health_worker_3,age_60_plus,lives_with_age_60_plus,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_plus,lives_with_kids_17_under,lives_with_kids_5_under,lives_with_kids_6_12,lives_with_kids_13_17,lives_with_kids_6_17,lone_parent,multi_gen_hh,low_income_family,main_earner_cf,main_earner_ef,main_earner_hh,language_spoken_not_english,immigrant,nonperm_res,unsuitable_dwelling,shelter_cost_income_ratio,low_income_nbhd,number_of_families,takes_public_transit,duration_of_commute,work_from_home,mental_health_sometimes,mental_health_always
11,.074880287,.05313703,.013801638,.0078910058,.45121542,.54679418,.011094045,.039170019,.15845013,.2209757,.26196665,.26541647,.042926144,.30420876,.11306965,.16405834,.15524651,.26356041,.088014722,.10083854,.065041877,.72220427,.71023291,.70179486,.036427703,.0039851642,.0043470114,.061001934,28.312281,.099797986,29715.871,.025511961,17.852146,.077796571,.11810604,.021515176
12,.084498949,.050833531,.028754611,.0065378645,.20409317,.30364051,.0048228153,.047828354,.18538521,.35196936,.32439628,.076649338,.0089488328,.36854708,.10591946,.17977656,.17530493,.30145231,.054405216,.046671845,.030161556,.81749392,.81209797,.80797344,.025536919,.01934403,.012931286,.021203909,20.422804,.016006375,62829.813,.057500683,22.01119,.064793386,.074696623,.0092441523
13,.071081862,.040560041,.022165366,.0092177074,.21726321,.29613006,.0060539506,.10360767,.23272277,.31164968,.22974189,.098020785,.018202122,.40637758,.15204275,.21682994,.16703662,.31836498,.036337696,.043562505,.088601157,.76996017,.7631579,.75246304,.12078929,.088928163,.016166542,.032608796,95.210167,.0074236835,124144,.061027884,18.448294,.27070481,.066518366,.013455355
14,.10578571,.052532673,.033201355,.026121072,.25709149,.34291017,.0024475683,.06773524,.20049763,.31245479,.30557939,.10035708,.010927566,.3346943,.10163157,.17127343,.14955892,.2799671,.061673161,.035214029,.064679123,.76070088,.75278288,.74475408,.062602162,.058215361,.012932257,.035940535,28.744173,.0039947955,107062.32,.045257527,20.744144,.14651413,.11709092,.017560443
15,.052079313,.030686986,.015857102,.0055381483,.19442858,.26361883,.0036554248,.085443668,.23913623,.33220911,.23783422,.080911785,.020808702,.40569279,.13764401,.21217176,.18030387,.32711408,.041155998,.04385278,.11743611,.74320799,.73040187,.71808553,.15401529,.094122358,.020799346,.034576353,90.480835,.0060936012,116205.73,.026987165,19.630495,.18846674,.056716137,.010699444
16,.073445223,.046382081,.021383835,.0091361534,.26027328,.336669,.0036798345,.070118427,.20154895,.30422348,.2835179,.10639679,.030512916,.38069674,.13189332,.19222748,.17959993,.31079873,.034065768,.046901368,.070397109,.78786153,.77961665,.76981068,.12030514,.073723003,.015918922,.019833967,88.941376,.0034264419,96340.984,.032112196,21.608088,.18136309,.064287402,.011584034
111,.063508704,.033734102,.024243437,.0055361204,.14654903,.27337441,.0094252983,.16568293,.25285167,.29423827,.2066734,.061902337,.0092273271,.37187341,.15317334,.17844212,.14399888,.26758337,.043461956,.059675392,.038210928,.72097421,.71016037,.70032299,.13401513,.072714642,.012441421,.040885169,27.96863,.004317455,101998.83,.12388029,24.643229,.096972443,.10105115,.023559796
112,.064266048,.028843043,.025831847,.011122864,.098943897,.21553865,.012250395,.16308448,.30154309,.29936457,.19106179,.031356763,.0013369309,.39206249,.14926137,.19744211,.14416949,.29426473,.066821754,.047523774,.03548938,.71338195,.70247263,.69046324,.066630192,.062460911,.012051024,.036447134,57.902287,.00219006,105763.27,.1212723,27.043598,.060174763,.10802898,.026349895
113,.084164448,.042822737,.035343941,.013254675,.12155149,.22463092,.010120084,.15767631,.22587547,.33063853,.23329034,.040960371,.001439907,.37631729,.13041779,.18116435,.15337324,.29138798,.042290181,.050111961,.040319417,.77322304,.76913661,.75466627,.1484445,.10840008,.022956749,.046083253,69.473976,.0029423651,106595.82,.087033339,28.170349,.050902378,.060513653,.011291152
114,.076758608,.034315314,.03237718,.010939499,.15317611,.26451474,.021312991,.18058078,.22041722,.28587741,.23287334,.048858743,.010079474,.32916331,.14001612,.16318917,.11139335,.23921798,.052214988,.037425283,.074086055,.68978018,.6777752,.66169596,.10414848,.083837122,.01758373,.031553697,75.063789,.0042098435,104023.75,.11637567,22.855667,.14715962,.12520686,.034361184
121,.069106489,.039309949,.025275093,.005368371,.20086868,.30176979,.010930719,.14846997,.23144075,.30027041,.20195898,.08261133,.024316978,.39270315,.1543023,.20777467,.15347321,.30016547,.055399135,.059810068,.10109992,.71758854,.6984421,.68720764,.21807522,.11246462,.006767835,.040280554,67.861504,.0032353958,120961.91,.049211618,18.120895,.25797921,.07167609,.01742113
122,.067216597,.031129645,.027291292,.0093022259,.10008939,.24246211,.012173778,.24933289,.25545076,.26561287,.18786804,.025218362,.0043460485,.39720732,.18815696,.17427909,.14236601,.26744315,.055457611,.064206824,.033299178,.73838609,.72290462,.71374518,.12587602,.064118244,.014695411,.04204819,49.543629,.0026615812,100355.23,.11445456,24.779867,.044486977,.099329129,.025539817
124,.061840218,.034531187,.021970036,.0065001049,.057108771,.15189803,.037238389,.33830145,.28488135,.21100134,.10339365,.021939334,.0032444899,.36967695,.17434376,.16562776,.11528087,.24315798,.042618982,.032850597,.10520894,.66357923,.64522457,.61372089,.12114658,.10573147,.034617864,.054520588,98.930466,.0055526448,142381.58,.14809828,22.645857,.17884772,.12363709,.027360864
125,.046731301,.021932149,.015926212,.0088586686,.19773023,.29231858,.010803238,.15458155,.2335237,.29010695,.19725397,.099607736,.01412274,.35899845,.13770378,.180868,.15000513,.28084147,.059554983,.063881747,.1114343,.68007517,.66250432,.63384044,.12286262,.067738943,.0080337729,.046904702,87.522354,.0061125252,95128.383,.067231283,19.526791,.25648084,.11690096,.023948716
131,.093855023,.042985518,.04239352,.0084388778,.069404542,.19117014,.0072921054,.17783192,.36601871,.27835193,.1534158,.017448101,-.00035950588,.48468992,.2006762,.24772114,.18287604,.36822712,.020069534,.067963846,.041712821,.79148346,.78434944,.7726239,.091472127,.096753187,.012370486,.028681612,121.25624,.0024084547,115219.77,.10267295,24.311649,.2271381,.056668554,.0088618062
132,.034744114,.018743826,.00016849149,.015858751,.087168664,.24523929,.014260471,.16510378,.31146306,.26296756,.22277249,.023369802,.000063356922,.3752259,.17339514,.22194684,.14236306,.2917679,.088020094,.084728539,.14072779,.72401667,.69194508,.67281622,.2185567,.10923181,-.000015269625,.071099289,31.826437,7.2855846e-06,103798.72,.044603255,24.448378,.062272262,.11105299,.025946066
211,.10782401,.052383061,.039343372,.017831566,.1338513,.21036917,.0075723818,.13107798,.25673187,.34675306,.19105518,.060700867,.0061075003,.44639647,.16966118,.2317932,.18534572,.34079507,.025192412,.038060613,.049302083,.85396475,.84865624,.84279448,.12590423,.10113858,.028081993,.025688114,38.800774,.0042372281,113192.37,.10247073,26.708803,.10574225,.071589507,.008908744
212,.1040725,.059482675,.034527227,.010034538,.10866196,.2443732,.0073106689,.14336926,.29500347,.35037798,.16045019,.041058347,.0024309023,.45326525,.17885795,.23186298,.15650219,.33274609,.040333427,.059232362,.073446117,.68024617,.67295927,.66474742,.17088887,.11737505,.028259423,.064088717,80.375633,.010850973,134468.88,.19331986,29.037144,.10599522,.10698552,.022945367
213,.07915049,.039187357,.032895338,.0074645844,.06348446,.16126125,.013197528,.15063378,.36102426,.31477499,.13853596,.020618051,.0012154054,.48640144,.19625771,.26883215,.17016086,.36742997,.034637529,.054748185,.046627872,.828502,.8185038,.80690038,.13056338,.12076283,.022386672,.052054577,66.083626,.0027175192,122761.77,.16157499,27.759974,.13355944,.085402407,.017117061
311,.19070016,.11044132,.059046913,.025047671,.14752491,.25919831,.0085056899,.12286858,.23633869,.30925542,.26245487,.055641904,.0049361424,.38173082,.14161101,.18949991,.16814058,.3024359,.077683419,.039975613,.044497661,.72143042,.70831537,.68416733,.075283229,.06891986,.0095560234,.035844058,38.715935,.0072989292,94029.273,.069399148,24.344587,.066364214,.1024497,.022479841
411,.11190242,.054927554,.040151745,.024563706,.11700448,.20323396,.011439009,.07488402,.18188755,.37735894,.33963108,.01484526,-.000046633213,.34963715,.075208575,.21190923,.15712887,.31909072,.049359299,.013420103,.003035133,.81354856,.79486811,.79524207,.059356499,.030600978,.0030376248,.041646216,13.733427,.0026752658,76716.719,.089915782,26.908634,.015725661,.10061879,.037518367
412,.068969078,.031657293,.031203726,.0060379752,.1296479,.2605792,-.0032159076,.089626849,.26959178,.35873252,.246503,.031292241,.0074699586,.44645771,.14894246,.23399553,.18182527,.35649389,.059224788,.069687746,.015455241,.84132928,.83990121,.83134651,.044691499,.035671979,.00066517497,.010777529,13.557635,.013691319,82928.164,.14096065,26.995104,.034185402,.10064255,.012166302
413,.11339996,.062504217,.050729319,.00025128672,.24994397,.27457112,-.0016518203,.13912342,.27209622,.28092858,.26089475,.048772316,-.00016335491,.36537367,.16122825,.1207662,.1603585,.25721991,.073090039,.02109961,.084191322,.7803148,.78235203,.78208363,.027228048,.027563747,.032700285,.052079502,64.654587,.00043514816,97852.648,.20997033,26.212852,.081736974,.057246856,.029957216
