ind_3_digit,occ_4_digit,n_workers_weighted_round
611,11,90
624,11,25
813,11,30
911,11,85
912,11,135
913,11,370
914,11,355
111,12,55
541,12,35
611,12,15
911,12,325
912,12,875
913,12,635
914,12,205
919,12,20
517,13,150
522,13,775
523,13,765
524,13,395
526,13,35
531,13,1090
532,13,90
541,13,4760
551,13,355
561,13,440
611,14,890
621,14,340
622,14,155
623,14,290
624,14,485
813,14,1395
412,15,20
413,15,380
414,15,350
415,15,85
416,15,305
417,15,440
418,15,265
419,15,160
441,15,205
442,15,95
443,15,150
444,15,120
445,15,150
446,15,135
447,15,35
448,15,185
451,15,70
452,15,60
453,15,130
454,15,185
512,15,245
515,15,35
518,15,45
519,15,135
561,15,560
711,15,205
712,15,95
713,15,280
721,15,445
722,15,480
811,15,170
812,15,135
111,16,135
113,16,105
114,16,25
115,16,90
211,16,60
212,16,200
213,16,320
221,16,175
236,16,785
237,16,435
238,16,920
311,16,280
312,16,80
315,16,55
321,16,210
322,16,75
323,16,110
325,16,195
326,16,100
327,16,85
331,16,70
332,16,205
333,16,245
334,16,175
335,16,85
336,16,155
337,16,80
339,16,225
481,16,85
483,16,65
484,16,295
485,16,80
487,16,35
488,16,270
492,16,40
493,16,55
511,16,590
562,16,105
111,111,45
113,111,40
114,111,30
115,111,15
211,111,20
212,111,50
213,111,80
221,111,120
236,111,175
237,111,130
238,111,240
311,111,40
312,111,40
314,111,15
321,111,60
322,111,25
323,111,25
325,111,50
326,111,35
327,111,25
331,111,30
332,111,50
333,111,85
334,111,40
335,111,20
336,111,20
337,111,25
339,111,55
413,111,70
414,111,65
415,111,30
416,111,65
417,111,125
418,111,55
419,111,25
441,111,350
442,111,55
443,111,35
444,111,40
445,111,60
446,111,35
448,111,45
451,111,60
452,111,30
453,111,35
454,111,40
481,111,20
483,111,20
484,111,80
485,111,15
488,111,95
511,111,75
512,111,25
515,111,25
517,111,75
518,111,20
519,111,25
522,111,840
523,111,545
524,111,280
526,111,25
531,111,310
532,111,25
541,111,1290
551,111,125
561,111,220
611,111,385
621,111,120
622,111,45
623,111,90
624,111,140
711,111,50
713,111,100
721,111,155
722,111,100
811,111,35
812,111,30
813,111,250
911,111,165
912,111,315
913,111,235
914,111,100
111,112,30
113,112,35
211,112,20
212,112,40
213,112,55
221,112,95
236,112,95
237,112,75
238,112,130
311,112,75
312,112,15
321,112,65
322,112,45
325,112,35
326,112,15
331,112,25
333,112,15
334,112,25
336,112,40
337,112,30
339,112,20
413,112,45
414,112,35
416,112,30
417,112,35
418,112,20
441,112,35
442,112,15
443,112,35
444,112,70
445,112,65
446,112,35
448,112,55
451,112,25
452,112,70
453,112,20
481,112,20
483,112,25
484,112,70
485,112,15
488,112,50
511,112,60
512,112,25
517,112,75
522,112,195
523,112,70
524,112,145
531,112,45
541,112,690
551,112,80
561,112,325
562,112,20
611,112,480
621,112,100
622,112,65
