occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial,n_workers_weighted_round
12,Senior government managers and officials,0.00000000,2.18000007,4.80000019,4.32999992,1.72000003,4.98000002,1.64999998,2.21000004,2.73000002,2.94000006,3.03999996,1.60000002,2.00999999,1.35000002,2165
13,"Senior managers - financial, communications and other business services",0.00000000,2.55999994,4.79500008,4.23000002,1.63999999,4.96500015,1.52999997,2.08500004,2.97000003,3.39499998,2.58500004,1.45499992,2.42999983,1.36500001,8855
14,"Senior managers - health, education, social and community services and membership organizations",0.00000000,2.18000007,4.80000019,4.32999992,1.72000003,4.98000002,1.64999998,2.21000004,2.73000002,2.94000006,3.03999996,1.60000002,2.00999999,1.35000002,3555
15,"Senior managers - trade, broadcasting and other services, n.e.c.",0.00000000,2.55999994,4.79500008,4.23000002,1.63999999,4.96500015,1.52999997,2.08500004,2.97000003,3.39499998,2.58500004,1.45499992,2.42999983,1.36500001,6355
16,"Senior managers - construction, transportation, production and utilities",0.00000000,2.55999994,4.79500008,4.23000002,1.63999999,4.96500015,1.52999997,2.08500004,2.97000003,3.39499998,2.58500004,1.45499992,2.42999983,1.36500001,7300
111,Financial managers,1.00000000,2.17999983,4.48499966,3.69000006,1.21000004,4.95499992,1.33500004,1.33500004,2.75000000,2.74000001,1.82500005,1.01499999,1.06500006,1.01499999,9255
112,Human resources managers,1.00000000,2.99666667,4.62333345,2.76333332,1.17333329,4.74333334,1.27999997,1.27666664,2.58666658,2.40666676,1.88000000,1.10000002,1.30000007,1.08666670,5575
113,Purchasing managers,1.00000000,2.63000011,4.57000017,3.75999999,1.04999995,4.61000013,1.35000002,1.48000002,2.61999989,2.67000008,2.32999992,1.13999999,1.71000004,1.10000002,2315
114,Other administrative services managers,1.00000000,3.23000002,4.50000000,4.11999989,1.92999995,4.90000010,1.69000006,1.78999996,2.79999995,3.05999994,2.14000010,1.50999999,1.82000005,1.13999999,4455
121,"Insurance, real estate and financial brokerage managers",1.00000000,2.46000004,4.50000000,3.69000006,1.08000004,4.73000002,2.15000010,3.15000010,3.03999996,3.80999994,3.03999996,1.12000000,1.69000006,1.14999998,7020
122,"Banking, credit and other investment managers",1.00000000,2.32999992,4.69999981,4.21000004,1.14999998,4.98000002,1.57000005,1.50000000,3.09999990,3.30999994,1.82000005,1.00000000,1.00000000,1.00000000,7950
124,"Advertising, marketing and public relations managers",1.00000000,2.44000006,4.74749994,4.32250023,1.19000006,4.73250008,1.73250008,1.91750002,2.77999997,3.30999994,2.58999991,1.10000002,1.29250002,1.01999998,9880
125,Other business services managers,1.00000000,2.89249992,4.60500002,3.93499994,1.48249996,4.72499990,1.68250000,1.97749996,3.06500006,2.91499996,2.61749983,1.29750001,1.95749998,1.35000002,3760
131,Telecommunication carriers managers,1.00000000,2.94000006,4.78999996,4.13000011,1.55999994,4.94999981,1.40999997,1.96000004,3.21000004,3.84999990,2.13000011,1.30999994,2.84999990,1.38000000,1535
132,Postal and courier services managers,1.00000000,2.95000005,4.96000004,4.53999996,1.66999996,4.92000008,1.22000003,2.83999991,3.23000002,3.39000010,3.00000000,1.22000003,1.38000000,1.00999999,520
211,Engineering managers,2.00000000,1.98000002,4.21000004,3.65000010,1.13000000,4.88000011,1.75999999,1.97000003,2.70000005,1.51999998,2.73000002,1.12000000,3.05999994,1.17999995,2300
212,Architecture and science managers,2.00000000,2.71000004,4.26999998,3.55250001,1.52250004,4.72249985,1.69250000,2.14249992,2.71250010,2.56750011,2.37500000,1.24250007,2.56500006,1.31250000,970
213,Computer and information systems managers,2.00000000,2.76000023,4.57499981,3.29500008,1.12500000,4.48999977,1.21499991,1.30999994,2.84000015,2.19000006,1.42000008,1.12000000,1.48000002,1.13000000,7655
311,Managers in health care,3.00000000,3.37500000,4.60500002,3.49499989,2.36499977,4.81999969,1.08500004,1.07999992,2.80999994,2.84500003,1.38000000,1.01999998,1.37000000,1.07999992,4500
411,Government managers - health and social policy development and program administration,4.00000000,1.88000000,4.30000019,3.36999989,1.17999995,4.84999990,1.11000001,1.14999998,2.70000005,1.55999994,1.50000000,1.00000000,1.57000005,1.17999995,575
412,"Government managers - economic analysis, policy development and program administration",4.00000000,1.88000000,4.30000019,3.36999989,1.17999995,4.84999990,1.11000001,1.14999998,2.70000005,1.55999994,1.50000000,1.00000000,1.57000005,1.17999995,970
413,Government managers - education policy development and program administration,4.00000000,3.72000003,4.73666668,3.97333336,2.08999991,4.81333351,1.53999996,2.24000001,3.21000004,3.58666658,2.05999994,1.04333329,1.47666669,1.00333333,140
414,Other managers in public administration,4.00000000,3.21000004,4.63999987,4.44000006,1.58000004,4.59999990,2.40000010,2.72000003,3.07999992,4.03999996,3.51999998,1.55999994,2.40000010,1.72000003,920
421,Administrators - post-secondary education and vocational training,4.00000000,2.77999997,4.51000023,3.64000010,1.85000002,4.76999998,1.26999998,1.63999999,2.52999997,2.67000008,2.07999992,1.13000000,1.11000001,1.00999999,3005
422,School principals and administrators of elementary and secondary education,4.00000000,4.19000006,4.84999990,4.14000034,2.21000004,4.83500004,1.67499995,2.53999996,3.55000019,4.04500008,2.04999995,1.00000000,1.65999997,1.00000000,4565
423,"Managers in social, community and correctional services",4.00000000,4.01000023,4.67000008,4.11000013,2.01999998,4.88000011,1.27999997,1.67999995,2.66000009,3.64000010,3.27999997,1.00000000,1.00000000,1.00000000,4235
431,Commissioned police officers,4.00000000,4.07999992,4.88999987,4.80000019,3.26999998,4.86999989,2.78999996,4.50000000,4.07000017,4.55000019,4.80000019,2.15000010,3.54999995,2.92000008,190
432,Fire chiefs and senior firefighting officers,4.00000000,4.75000000,4.78000021,4.34000015,3.81999993,4.67999983,3.16000009,4.55000019,4.05000019,4.69000006,4.44000006,2.90000010,4.13000011,3.88000011,490
511,"Library, archive, museum and art gallery managers",5.00000000,2.94000006,4.78999996,4.13000011,1.55999994,4.94999981,1.40999997,1.96000004,3.21000004,3.84999990,2.13000011,1.30999994,2.84999990,1.38000000,685
512,"Managers - publishing, motion pictures, broadcasting and performing arts",5.00000000,2.94000006,4.78999996,4.13000011,1.55999994,4.94999981,1.40999997,1.96000004,3.21000004,3.84999990,2.13000011,1.30999994,2.84999990,1.38000000,1170
513,"Recreation, sports and fitness program and service directors",5.00000000,2.78999996,4.59000015,4.34000015,1.69000006,4.94000006,1.09000003,1.20000005,4.01999998,4.17000008,1.16999996,1.03999996,1.03999996,1.01999998,1820
601,Corporate sales managers,6.00000000,2.51999998,4.82999992,4.26000023,1.13000000,4.32000017,1.96000004,2.17000008,2.91000009,3.70000005,3.31999993,1.17999995,1.42999995,1.03999996,8665
621,Retail and wholesale trade managers,6.00000000,2.51999998,4.82999992,4.26000023,1.13000000,4.32000017,1.96000004,2.17000008,2.91000009,3.70000005,3.31999993,1.17999995,1.42999995,1.03999996,61310
631,Restaurant and food service managers,6.00000000,2.98000002,4.88000011,4.23999977,1.38000000,4.78999996,1.62000000,1.72000003,4.11000013,3.99000001,1.78999996,1.02999997,4.17999983,1.15999997,21660
632,Accommodation service managers,6.00000000,3.72000003,4.88999987,4.48999977,1.13999999,4.82999992,1.07000005,1.45000005,2.97000003,4.15999985,1.89999998,1.00000000,1.09000003,1.00999999,6055
651,"Managers in customer and personal services, n.e.c.",6.00000000,4.40999985,5.00000000,4.61999989,1.45000005,4.96999979,1.07000005,1.07000005,4.28999996,4.19000006,1.38000000,1.00000000,1.62000000,1.00999999,4790
711,Construction managers,7.00000000,2.24000001,4.67999983,3.64000010,1.15999997,4.63999987,2.51999998,3.27999997,3.00000000,3.00000000,2.96000004,1.67999995,3.92000008,2.00000000,15050
712,Home building and renovation managers,7.00000000,2.24000001,4.67999983,3.64000010,1.15999997,4.63999987,2.51999998,3.27999997,3.00000000,3.00000000,2.96000004,1.67999995,3.92000008,2.00000000,9075
714,Facility operation and maintenance managers,7.00000000,2.50666666,4.51666689,3.56999993,1.10333335,4.76666689,1.91999996,2.40666676,3.01999998,2.41666675,2.75333333,2.11333323,3.28666663,1.84666669,9420
731,Managers in transportation,7.00000000,2.66000009,4.61750031,3.87249994,1.40250003,4.83750010,2.28250003,3.25500011,3.07500005,2.96500015,3.52500010,2.20499992,3.32750010,1.70749998,5535
811,Managers in natural resources production and fishing,8.00000000,2.75000000,4.55000019,3.68000007,1.17999995,4.82999992,3.00000000,4.59000015,3.82999992,2.78999996,3.77999997,2.92000008,4.59999990,2.39000010,2010
821,Managers in agriculture,8.00000000,2.53999996,3.32999992,2.88000011,2.06999993,3.14000010,3.61999989,4.25000000,2.29999995,2.33999991,3.16000009,2.54999995,2.93000007,1.02999997,13165
822,Managers in horticulture,8.00000000,3.08999991,4.42999983,3.11999989,1.14999998,4.71999979,3.93000007,4.82000017,3.51999998,2.50000000,3.00999999,3.76999998,3.22000003,2.79999995,1140
823,Managers in aquaculture,8.00000000,2.34999990,4.30500031,3.59500003,1.38499999,4.96000004,3.86500025,4.47000027,3.34999990,2.98500013,4.22499990,3.40499997,3.62500000,1.75500000,615
911,Manufacturing managers,9.00000000,2.50500011,4.80499983,3.93499994,1.40999997,4.92500019,2.25000000,3.06999993,3.05500007,1.81999993,2.21000004,1.69499993,4.52499962,1.53999996,9170
912,Utilities managers,9.00000000,2.93000007,4.51499987,3.42000008,1.11000001,4.98000002,3.13499999,4.15499973,2.62500000,1.93000007,3.70000005,1.82999992,4.60499954,2.26999998,1315
1111,Financial auditors and accountants,11.00000000,2.33400011,4.37400007,3.94000006,1.13800001,4.63600016,1.68799996,2.33200002,3.07999992,2.98000002,2.73799992,1.13600004,1.76399994,1.28799999,29655
1112,Financial and investment analysts,11.00000000,1.84999990,4.41499996,3.00500011,1.12000000,4.76000023,1.06500006,1.11000001,2.80000019,1.62000000,1.31500006,1.00000000,1.06500006,1.05500007,3930
1113,"Securities agents, investment dealers and brokers",11.00000000,2.00000000,4.55999994,4.23999977,1.00000000,4.46000004,1.09000003,1.09000003,2.73000002,3.94000006,1.84000003,1.00999999,1.00000000,1.00000000,2415
1114,Other financial officers,11.00000000,2.48000002,4.46000004,3.62666655,1.13333333,4.63000011,1.34000003,1.47666669,2.81999993,2.75000000,2.08999991,1.11000001,1.35000002,1.12666667,16360
1121,Human resources professionals,11.00000000,2.71749997,4.55999994,3.23749995,1.12750006,4.63999987,1.25249994,1.33500004,2.73250008,2.72499990,1.79250002,1.04999995,1.11750007,1.01999998,8380
1122,Professional occupations in business management consulting,11.00000000,2.48000002,4.26999998,2.76999998,1.08000004,4.38000011,1.58000004,1.58000004,2.65000010,2.26999998,2.07999992,1.19000006,1.58000004,1.23000002,11015
1123,"Professional occupations in advertising, marketing and public relations",11.00000000,2.37666655,4.58333302,3.82333326,1.05666661,4.50333309,1.42666662,1.72333336,2.66000009,3.20666671,2.22000003,1.10000002,1.08333325,1.04333329,12730
1211,"Supervisors, general office and administrative support workers",12.00000000,3.19000006,4.69999981,4.00000000,1.37000000,4.92999983,1.09000003,1.21000004,2.89000010,3.04999995,1.29999995,1.00999999,1.39999998,1.03999996,1445
1212,"Supervisors, finance and insurance office workers",12.00000000,3.19000006,4.69999981,4.00000000,1.37000000,4.92999983,1.09000003,1.21000004,2.89000010,3.04999995,1.29999995,1.00999999,1.39999998,1.03999996,1950
1213,"Supervisors, library, correspondence and related information workers",12.00000000,3.19000006,4.69999981,4.00000000,1.37000000,4.92999983,1.09000003,1.21000004,2.89000010,3.04999995,1.29999995,1.00999999,1.39999998,1.03999996,630
1214,"Supervisors, mail and message distribution occupations",12.00000000,3.07000017,4.82999992,4.26999998,1.51999998,4.92500019,1.15499997,2.02500010,3.05999994,3.22000003,2.15000010,1.11500001,1.38999999,1.02499998,805
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations",12.00000000,2.39999986,4.58666658,3.76333332,1.33000004,4.74000025,2.15333319,2.81999993,3.36666656,2.55666685,2.97666669,2.51666665,2.87000012,1.55333328,5900
1221,Administrative officers,12.00000000,3.47000003,4.69999981,3.85999990,1.32000005,4.65000010,1.14999998,1.14999998,2.54999995,3.09999990,1.21000004,1.00000000,1.07000005,1.00000000,37265
1222,Executive assistants,12.00000000,3.32000017,4.78499985,3.92000008,1.74000001,4.65000010,1.11000001,1.25500000,2.62500000,2.98499990,1.31500006,1.00999999,1.05500007,1.00000000,5570
1223,Human resources and recruitment officers,12.00000000,3.53999996,4.76999998,3.71000004,1.20000005,4.92000008,1.41999996,1.46000004,2.65000010,3.01999998,2.41000009,1.01999998,1.14999998,1.00000000,3000
1224,Property administrators,12.00000000,2.09999990,4.75000000,4.44000006,1.98000002,4.59000015,2.60999990,3.84999990,3.06999993,3.75999999,4.11000013,1.25999999,2.69000006,1.23000002,10470
1225,Purchasing agents and officers,12.00000000,2.44333339,4.65666676,3.94333339,1.15666664,4.84000015,1.69666672,1.72000003,2.94000006,2.78999996,2.27999997,1.34666669,1.89333332,1.11666667,5025
1226,Conference and event planners,12.00000000,3.13000011,4.90999985,4.69999981,1.00000000,4.90999985,1.92999995,2.31999993,3.86999989,4.34000015,2.99000001,1.11000001,2.38000011,1.11000001,3690
1227,Court officers and justices of the peace,12.00000000,2.48000002,4.59999990,4.46000004,2.46000004,4.73999977,1.00000000,1.02999997,3.31999993,3.94000006,1.73000002,1.00000000,1.00000000,1.00000000,390
1228,"Employment insurance, immigration, border services and revenue officers",12.00000000,2.54999995,4.78999996,4.65000010,1.19000006,4.53000021,1.25000000,1.55999994,3.25999999,4.59000015,2.18000007,1.26999998,1.12000000,1.00000000,3875
1241,Administrative assistants,12.00000000,3.03999996,4.71500015,4.07499981,1.72000003,4.64000034,1.10500002,1.15499997,3.05999994,3.02500010,1.23500001,1.02999997,1.18000007,1.02999997,29640
1242,Legal administrative assistants,12.00000000,2.49000001,4.59000015,4.23000002,1.00000000,4.78000021,1.00999999,1.00999999,2.61999989,2.47000003,1.60000002,1.00000000,1.00000000,1.00000000,7075
1243,Medical administrative assistants,12.00000000,3.60999990,4.98999977,4.01000023,3.10999990,4.63999987,1.03999996,1.03999996,3.82999992,3.49000001,1.10000002,1.00999999,1.83000004,1.38000000,4000
1251,"Court reporters, medical transcriptionists and related occupations",12.00000000,2.54999995,3.63000011,2.32999992,1.83000004,3.90000010,1.00000000,1.00000000,2.69000006,1.24000001,1.00000000,1.00000000,1.00000000,1.00000000,1780
1252,Health information management occupations,12.00000000,2.77500010,4.21000004,3.50500011,1.85500002,4.10500002,1.01999998,1.02999997,2.94000006,2.31999993,1.20000005,1.00000000,1.19499993,1.00000000,500
1253,Records management technicians,12.00000000,2.83666658,4.15666676,3.57000017,1.78666663,4.32999992,1.10333335,1.18666661,3.11333323,2.70333338,1.25666666,1.09333336,1.23333335,1.07000005,445
1254,Statistical officers and related research support occupations,12.00000000,1.88999999,3.67000008,2.66000009,1.00000000,4.28000021,1.12000000,1.22000003,2.86999989,2.69000006,1.40999997,1.00000000,1.19000006,1.07000005,300
1311,Accounting technicians and bookkeepers,13.00000000,2.16000009,4.48000002,3.60999990,1.16999996,4.55000019,1.11000001,1.39999998,2.76999998,3.07999992,1.52999997,1.00000000,1.11000001,1.00000000,25705
1312,Insurance adjusters and claims examiners,13.00000000,2.99333334,4.79666662,4.53333330,1.22666669,4.29666662,1.67999995,2.65000010,2.86000013,3.77999997,2.91999984,1.23000002,1.49666667,1.10666668,4140
1313,Insurance underwriters,13.00000000,1.76999998,4.50000000,3.56999993,1.02999997,4.38000011,1.13000000,1.20000005,3.06999993,2.32999992,1.52999997,1.00000000,1.07000005,1.02999997,1435
1314,"Assessors, valuators and appraisers",13.00000000,2.24666667,4.23000002,3.55333328,1.04999995,4.19000006,1.44666660,2.98000002,2.86666656,2.86000013,3.11000013,1.13999999,1.44666672,1.06333327,1495
1315,"Customs, ship and other brokers",13.00000000,2.21000004,4.69999981,3.84999990,1.04999995,4.71999979,1.35000002,1.39999998,3.15000010,2.67000008,1.95000005,1.29999995,1.25000000,1.00000000,500
1411,General office support workers,14.00000000,2.66750002,4.58249998,4.18249989,1.55999994,4.40750027,1.23749995,1.39999998,3.21749997,3.02999997,1.28250003,1.12500000,1.48000002,1.11500001,41035
1414,Receptionists,14.00000000,3.48666668,4.93333340,4.71666670,1.96666670,4.01666641,1.04666674,1.08333337,3.43666673,3.68333340,1.17666662,1.00666666,1.08000004,1.08666670,28195
1415,Personnel clerks,14.00000000,3.28999996,4.90999985,3.99000001,1.53999996,4.53000021,1.01999998,1.05999994,3.13000011,2.93000007,1.33000004,1.00000000,1.12000000,1.00000000,1425
1416,Court clerks,14.00000000,2.40000010,4.82000017,4.36999989,1.52999997,4.69000006,1.00999999,1.14999998,3.49000001,3.83999991,1.42999995,1.00000000,1.01999998,1.00000000,465
1422,Data entry clerks,14.00000000,2.22000003,4.50500011,2.57999992,1.36000001,4.44000006,1.44499993,1.78999996,2.96000004,2.53000021,1.27999997,1.12000000,1.63000000,1.15499997,4670
1423,Desktop publishing operators and related occupations,14.00000000,2.44000006,4.25000000,3.84999990,1.08000004,4.51999998,1.01999998,1.02999997,2.79999995,2.96000004,1.10000002,1.00000000,1.05999994,1.00000000,150
1431,Accounting and related clerks,14.00000000,2.52999997,4.55499983,3.56500006,1.37000000,4.44250011,1.06999993,1.27250004,3.17249990,3.74000001,1.33749998,1.00000000,1.04750001,1.00000000,20570
1432,Payroll administrators,14.00000000,2.54999995,4.28999996,3.07999992,1.27999997,4.57999992,1.19000006,1.21000004,2.48000002,1.94000006,1.03999996,1.00000000,1.37000000,1.00000000,4865
1434,"Banking, insurance and other financial clerks",14.00000000,2.47499990,4.72666645,4.31333351,1.12166667,4.42333317,1.05666661,1.07999992,3.23000002,3.11166668,1.37333333,1.00000000,1.00666666,1.00000000,2875
1435,Collectors,14.00000000,2.31999993,4.90000010,3.97000003,1.30999994,3.79999995,1.00000000,1.16999996,2.78999996,2.50000000,1.50000000,1.00000000,1.00000000,1.00000000,1165
1451,Library assistants and clerks,14.00000000,3.30999994,4.53999996,3.83999991,2.34999990,4.82000017,1.29999995,1.45000005,3.90000010,3.85999990,1.10000002,1.00999999,1.42999995,1.10000002,2675
1452,"Correspondence, publication and regulatory clerks",14.00000000,2.33750010,4.76249981,3.92749977,1.22749996,4.69999981,1.13750005,1.24749994,3.10249996,3.13249993,1.38750005,1.03750002,1.26499999,1.00000000,3255
