occ_4_digit,occ_4_digit_description,occ_3_digit,occ_3_digit_description,occ_2_digit_47,occ_2_digit_47_description,occ_2_digit_40,occ_2_digit_40_description
11,Legislators,1,Legislators and senior management,0,Senior management occupations,0,Senior management occupations
12,Senior government managers and officials,1,Legislators and senior management,0,Senior management occupations,0,Senior management occupations
13,"Senior managers - financial, communications and other business services",1,Legislators and senior management,0,Senior management occupations,0,Senior management occupations
14,"Senior managers - health, education, social and community services and membership organizations",1,Legislators and senior management,0,Senior management occupations,0,Senior management occupations
15,"Senior managers - trade, broadcasting and other services, n.e.c.",1,Legislators and senior management,0,Senior management occupations,0,Senior management occupations
16,"Senior managers - construction, transportation, production and utilities",1,Legislators and senior management,0,Senior management occupations,0,Senior management occupations
111,Financial managers,11,Administrative services managers,1,Specialized middle management occupations,1,Specialized middle management occupations
112,Human resources managers,11,Administrative services managers,1,Specialized middle management occupations,1,Specialized middle management occupations
113,Purchasing managers,11,Administrative services managers,1,Specialized middle management occupations,1,Specialized middle management occupations
114,Other administrative services managers,11,Administrative services managers,1,Specialized middle management occupations,1,Specialized middle management occupations
121,"Insurance, real estate and financial brokerage managers",12,Managers in financial and business services,1,Specialized middle management occupations,1,Specialized middle management occupations
122,"Banking, credit and other investment managers",12,Managers in financial and business services,1,Specialized middle management occupations,1,Specialized middle management occupations
124,"Advertising, marketing and public relations managers",12,Managers in financial and business services,1,Specialized middle management occupations,1,Specialized middle management occupations
125,Other business services managers,12,Managers in financial and business services,1,Specialized middle management occupations,1,Specialized middle management occupations
131,Telecommunication carriers managers,13,Managers in communication (except broadcasting),1,Specialized middle management occupations,1,Specialized middle management occupations
132,Postal and courier services managers,13,Managers in communication (except broadcasting),1,Specialized middle management occupations,1,Specialized middle management occupations
211,Engineering managers,21,"Managers in engineering, architecture, science and information systems",2,Specialized middle management occupations,1,Specialized middle management occupations
212,Architecture and science managers,21,"Managers in engineering, architecture, science and information systems",2,Specialized middle management occupations,1,Specialized middle management occupations
213,Computer and information systems managers,21,"Managers in engineering, architecture, science and information systems",2,Specialized middle management occupations,1,Specialized middle management occupations
311,Managers in health care,31,Managers in health care,3,Specialized middle management occupations,1,Specialized middle management occupations
411,Government managers - health and social policy development and program administration,41,Managers in public administration,4,Specialized middle management occupations,1,Specialized middle management occupations
412,"Government managers - economic analysis, policy development and program administration",41,Managers in public administration,4,Specialized middle management occupations,1,Specialized middle management occupations
413,Government managers - education policy development and program administration,41,Managers in public administration,4,Specialized middle management occupations,1,Specialized middle management occupations
414,Other managers in public administration,41,Managers in public administration,4,Specialized middle management occupations,1,Specialized middle management occupations
421,Administrators - post-secondary education and vocational training,42,Managers in education and social and community services,4,Specialized middle management occupations,1,Specialized middle management occupations
422,School principals and administrators of elementary and secondary education,42,Managers in education and social and community services,4,Specialized middle management occupations,1,Specialized middle management occupations
423,"Managers in social, community and correctional services",42,Managers in education and social and community services,4,Specialized middle management occupations,1,Specialized middle management occupations
431,Commissioned police officers,43,Managers in public protection services,4,Specialized middle management occupations,1,Specialized middle management occupations
432,Fire chiefs and senior firefighting officers,43,Managers in public protection services,4,Specialized middle management occupations,1,Specialized middle management occupations
433,Commissioned officers of the Canadian Armed Forces,43,Managers in public protection services,4,Specialized middle management occupations,1,Specialized middle management occupations
511,"Library, archive, museum and art gallery managers",51,"Managers in art, culture, recreation and sport",5,Specialized middle management occupations,1,Specialized middle management occupations
512,"Managers - publishing, motion pictures, broadcasting and performing arts",51,"Managers in art, culture, recreation and sport",5,Specialized middle management occupations,1,Specialized middle management occupations
513,"Recreation, sports and fitness program and service directors",51,"Managers in art, culture, recreation and sport",5,Specialized middle management occupations,1,Specialized middle management occupations
601,Corporate sales managers,60,Corporate sales managers,6,Middle management occupations in retail and wholesale trade and customer services,6,Middle management occupations in retail and wholesale trade and customer services
