province,ind_3_digit,ind_3_digit_description,employment_avg_2019_ind3,employment_avg_2019_bottom_ind3,subsector_gdp_share,norm_influence
AB,111,Farms,19582,4064,.0100697112033894,20.83934256060788
AB,112,Animal production and aquaculture,24607,2921,.0023825963492789,20.75175114743869
AB,113, Forestry and logging,2198,297,.0074707362060638,23.96612573669315
AB,115, Support activities for agriculture and forestry,4906,430,.003059286128751,17.91855073967945
AB,211, Oil and gas extraction,76322,2626,.0198047243481897,41.03190492533678
AB,212, Mining and quarrying (except oil and gas),6461,,.0210495093796497,34.60795472761446
AB,213, Support activities for mining and oil and gas extraction,61216,2788,.004304071160211,20.51621940202209
AB,221, Utilities,23570,,.0195903717174468,36.95283690057448
AB,236, Construction of buildings,60811,4140,.050124478503146,12.66839307744923
AB,237, Heavy and civil engineering construction,40867,1303,.0202711135315265,32.28756047601178
AB,238, Specialty trade contractors,139443,9427,.0138563375442077,16.69949626224336
AB,311, Food manufacturing,24439,5966,.0091263975467362,37.6173323124553
AB,312, Beverage and tobacco product manufacturing,2762,,.003474214472571,17.70280229589094
AB,321, Wood product manufacturing,8569,1132,.012121256325226,26.55174460232865
AB,322, Paper manufacturing,3745,,.0058713981464373,27.1472329280402
AB,323, Printing and related support activities,3250,696,.0015450407958844,22.61560560011937
AB,324, Petroleum and coal products manufacturing,4116,,.0015794830900492,49.38747232291438
AB,325, Chemical manufacturing,9385,858,.0035483667058904,53.49362399770695
AB,326, Plastics and rubber products manufacturing,5514,1176,.002462421431049,33.85048947930946
AB,327, Non-metallic mineral product manufacturing,4980,,.0038044552930918,22.66043530586957
AB,331, Primary metal manufacturing,3270,,.0060261858684483,37.10179091015164
AB,332, Fabricated metal product manufacturing,19288,2402,.0047441221185982,36.54408064119416
AB,333, Machinery manufacturing,15673,1530,.0044527808303105,35.35251823556638
AB,336, Transportation equipment manufacturing,4467,,.0040062466165511,31.73267403505211
AB,337, Furniture and related product manufacturing,4275,761,.0016248658776545,13.90725740531611
AB,339, Miscellaneous manufacturing,10675,1812,.0025604806685533,21.54438947880724
AB,412, Petroleum and petroleum product merchant wholesalers,4500,,.0006491359441403,15.50270707957886
AB,413," Food, beverage and tobacco merchant wholesalers",7627,1639,.0049641475977918,16.10849225208264
AB,414, Personal and household goods merchant wholesalers,5419,680,.0044061824323229,21.90572947000598
AB,415, Motor vehicle and motor vehicle parts and accessories merchant wholesalers,8379,1387,.0028190004765193,16.01653910033823
AB,416, Building material and supplies merchant wholesalers,13463,1061,.0090514349064953,21.49076424708662
AB,417," Machinery, equipment and supplies merchant wholesalers",34225,2748,.0104643793741714,23.14346731644009
AB,418, Miscellaneous merchant wholesalers,11901,1981,.003594965103878,21.25941002493735
AB,441, Motor vehicle and parts dealers,38151,11432,.0089776878766366,18.55752519164685
AB,442, Furniture and home furnishings stores,8958,4261,.0022241617961211,13.53692760278693
AB,443, Electronics and appliance stores,8107,2929,.0021625708700853,14.22311178356666
AB,444, Building material and garden equipment and supplies dealers,19032,9571,.0044544016441536,16.13529219886445
AB,445, Food and beverage stores,59085,35191,.0121516465847832,16.49771350270538
AB,446, Health and personal care stores,19384,9320,.0056927034202414,15.46796031522085
AB,447, Gasoline stations,6495,3964,.0047287243870892,15.66500025441566
AB,448, Clothing and clothing accessories stores,25372,17806,.0058855802675639,13.90543936188599
AB,451," Sporting goods, hobby, book and music stores",11014,7811,.0019717200400665,13.60649521460557
AB,452, General merchandise stores,26730,19070,.0051408163066839,14.98711976803197
AB,453, Miscellaneous store retailers,18374,11424,.0040633803045185,13.86780580150026
AB,454, Non-store retailers,7669,2372,0,13.80259674668775
AB,481, Air transportation,15252,2324,.0088893535221906,22.99318047624553
AB,482, Rail transportation,6504,,.006251073789171,17.986810119159
AB,484, Truck transportation,45693,4615,.0096786898637544,45.85653998856785
AB,485, Transit and ground passenger transportation,23775,3625,.0073163536875136,14.88065911492856
AB,486, Pipeline transportation,14167,,.0050605860214531,17.53295306728004
AB,488, Support activities for transportation,10193,1873,.0132477219461436,41.00038430847259
AB,491, Postal service,7483,,.0010130086519043,15.81752496382304
AB,492, Couriers and messengers,9000,1897,.0019940062304084,20.46337071317316
AB,493, Warehousing and storage,5919,1441,.0025288747986139,17.36340942135497
AB,511, Publishing industries (except internet),4079,725,.0051562140381929,23.76792660908083
AB,512, Motion picture and sound recording industries,4496,2413,.0060970964740816,30.15021683623884
AB,517, Telecommunications,10005,1221,.0204502134611831,32.20065714296764
AB,519, Other information services,3547,1182,.0018623151056609,17.09743992860293
AB,522, Credit intermediation and related activities,33297,5683,.0349897240402351,51.59541909309946
AB,523," Securities, commodity contracts, and other financial investment and related activities",11418,,,
AB,524, Insurance carriers and related activities,18799,2243,.0109583223928399,45.03120536787243
AB,531, Real estate,30320,4917,.1730182309141066,56.43544911215904
AB,532, Rental and leasing services,11616,3352,.0059346098863161,25.60665213949549
AB,541," Professional, scientific and technical services",182744,11278,.0624783216148493,100
AB,561, Administrative and support services,75723,21900,.0218169647343324,68.81154584141582
AB,562, Waste management and remediation services,9353,598,.0026066738630801,19.26744804369046
AB,611, Educational services,157385,19779,.0509980971645483,17.61013888556367
AB,621, Ambulatory health care services,78470,10302,.0336517422127999,19.77312675780473
