province,occ_4_digit,female,lives_with_health_worker,lives_with_health_worker_1,lives_with_health_worker_2,lives_with_health_worker_3,age_60_plus,lives_with_age_60_plus,age_15_24,age_25_34,age_35_44,age_45_54,age_55_64,age_65_74,age_75_plus,lives_with_kids_17_under,lives_with_kids_5_under,lives_with_kids_6_12,lives_with_kids_13_17,lives_with_kids_6_17,lone_parent,multi_gen_hh,low_income_family,educ_lesshighschool,educ_highschool,educ_somecollege,educ_bachelor,main_earner_cf,main_earner_ef,main_earner_hh,language_spoken_not_english,immigrant,nonperm_res,visible_minority_1,visible_minority_2,unsuitable_dwelling,shelter_cost_income_ratio,low_income_nbhd,number_of_families,takes_public_transit,duration_of_commute,work_from_home,mental_health_sometimes,mental_health_always
NL,11,.27936468,.15341894,.072628133,.074701265,.0061047119,.30215788,.38784063,.053839065,.075491235,.20206539,.24188384,.29995826,.09810435,.028657852,.39737862,.11479071,.12020934,.27337688,.35754743,.072892137,.015237791,.036915876,.055206511,.18472628,.3904233,.36964393,.73575622,.73554462,.73546922,.042419266,-.00003600452,-5.6730019e-06,.000036053374,.23694716,.028270679,12.071024,.18356998,18728.895,.020322986,15.840732,-.0053711152,.0077772136,.0068941684
NL,12,.59119278,.11755483,.031205375,.073256172,.013104977,.19587551,.29497373,.00044329168,.038597982,.14957945,.44579923,.27565333,.089825176,.00010155267,.36345872,.049759034,.21377169,.18958974,.33662173,.062472548,.03750889,.005245456,.0010840263,.061880685,.46422994,.47280538,.66066563,.64545816,.64546514,.006079297,.0018790684,4.3540576e-06,-5.0516460e-06,.079034992,.011273739,10.421033,.19035922,14284.01,.000013360993,13.74351,.0052058809,.045764495,-.000010961291
NL,13,.35026515,.063628845,.03185967,.031745031,8.7006265e-06,.23340023,.32258329,-.00046747955,.071633078,.2428716,.24317206,.34852222,.073521808,.020746732,.31997797,.10422058,.19103855,.18202242,.29975685,.041461304,.012023598,.0094272681,.010965512,.20145753,.29710102,.49047595,.68557531,.68629271,.67323261,3.1757588e-06,-.000052330968,.0097264946,.0096989628,.077821977,.0056944448,12.447983,.026002428,30099.154,.024446679,12.555682,.2352142,.061832592,.0077878647
NL,14,.50684428,.077702999,.036323003,.022175377,.019220009,.18610491,.33070192,.00006520607,.035196628,.12305601,.51250833,.24814747,.081010796,.000015579422,.25387818,.044438548,.094095841,.14360991,.23764847,.047465015,.043281995,.027773265,.00012820963,.087612599,.28356558,.62869364,.71953678,.71953845,.71950793,.000045421428,-.000025547419,1.0565861e-07,.0076314728,.067857243,.020111926,109.5274,.1050872,22139.322,.000029963516,15.584625,.088186756,.085970551,.0096964873
NL,15,.37121847,.076171748,.018406237,.034997482,.021967897,.19673084,.2296131,.011987944,.10003595,.20883049,.34203476,.24168903,.051825896,.043595996,.3665027,.14515503,.16304047,.14197275,.2340332,.0090838196,.017394936,.02668157,.066334605,.22740863,.37430325,.33195356,.76114231,.75590807,.75798756,.0059886705,.00029650633,-.00083892967,-.001017118,.042235781,.0069037322,8.4847841,.093792193,24177.689,-.0035412507,10.886296,.16266763,.065483809,.025111724
NL,16,.065255709,.13812052,.039780248,.099756747,-.0014745969,.29209596,.34070089,-.0024786673,.059834752,.22491223,.28885934,.27404797,.13351509,.021309331,.39310023,.10309383,.19430619,.17345196,.31555814,.014032305,.02103297,.017228972,.036002554,.16114785,.43737981,.36546981,.84152973,.84323388,.8435477,-.000026187312,-.00040912387,.04360589,-.00023244759,.077945493,.000021956306,10.323196,.054715853,19651.717,.0037611455,18.331083,.054756369,.03977688,.017010082
NL,111,.62604827,.066134371,.018687963,.043241806,.0055867573,.091390096,.16998504,.00034315724,.15959014,.30155772,.31745213,.17579287,.049271848,-.0040078168,.39362067,.17918032,.19400142,.15611114,.26643234,.035226647,.036578197,.01034919,-.0070593804,.080712184,.31206554,.61428159,.66816217,.67275155,.671404,.0024790594,-.0014124417,.0075948522,.009497175,.070054106,.002872719,5.8395176,.059906442,23724.941,.0010420057,15.586124,.033603247,.10785625,-.00075782137
NL,112,.66516519,.092547007,.042388942,.051553167,.0061941156,.10511769,.14914298,-.0037000715,.15425453,.37553132,.27023393,.17788981,.010663759,.015126782,.47183695,.1457997,.25754729,.21200453,.37842351,.042267565,.019271838,.00040563932,.0085787652,.044754732,.33619505,.61047149,.70565534,.70324063,.69546849,-.0046766796,.0053646495,.010240247,.011608523,.06669122,.00080064568,32.410572,.048820272,26064.434,-.0012012102,20.364344,.025922449,.076214626,.021517595
NL,113,.26117644,.12662849,.074026421,.053249739,-.0013755453,.104671,.1418674,.019687982,.086004823,.30236509,.37398639,.18795528,.035987493,-.0059870579,.4093737,.12730102,.25817904,.24824098,.33223674,-.009634478,.057739325,.021075858,-.0085596452,.1981352,.59166384,.21876065,.75381339,.75605553,.73810101,-.000078822894,.020374093,.026778152,.025943436,.066135176,.012148514,73.838264,.045726214,21329.912,.0025922281,27.27998,.021348402,.072026491,.024547601
NL,114,.49198902,.13720074,.033799239,.088985413,.014527526,.068260029,.18081544,.0086996611,.11655023,.28227738,.37876481,.18837896,.011029822,.01429916,.46011844,.13190253,.24667199,.19721617,.38139591,.062795386,.024995929,.0026530465,.017605787,.11509088,.44412696,.42317638,.70500702,.69493335,.69692665,-.010867018,.022411922,-.0046240641,.0041744625,.04495902,.0018902287,.81863528,.088236958,20755.846,.0028858662,14.702883,.041221391,.05610593,.01656829
