province,ind_3_digit,occ_4_digit,n_workers_weighted_round
BC,611,11,90
BC,624,11,25
BC,813,11,30
BC,911,11,85
BC,912,11,135
BC,913,11,370
BC,914,11,355
BC,111,12,55
BC,541,12,35
BC,611,12,15
BC,911,12,325
BC,912,12,875
BC,913,12,635
BC,914,12,205
BC,919,12,20
BC,517,13,150
BC,522,13,775
BC,523,13,765
BC,524,13,395
BC,526,13,35
BC,531,13,1090
BC,532,13,90
BC,541,13,4760
BC,551,13,355
BC,561,13,440
BC,611,14,890
BC,621,14,340
BC,622,14,155
BC,623,14,290
BC,624,14,485
BC,813,14,1395
BC,412,15,20
BC,413,15,380
BC,414,15,350
BC,415,15,85
BC,416,15,305
BC,417,15,440
BC,418,15,265
BC,419,15,160
BC,441,15,205
BC,442,15,95
BC,443,15,150
BC,444,15,120
BC,445,15,150
BC,446,15,135
BC,447,15,35
BC,448,15,185
BC,451,15,70
BC,452,15,60
BC,453,15,130
BC,454,15,185
BC,512,15,245
BC,515,15,35
BC,518,15,45
BC,519,15,135
BC,561,15,560
BC,711,15,205
BC,712,15,95
BC,713,15,280
BC,721,15,445
BC,722,15,480
BC,811,15,170
BC,812,15,135
BC,111,16,135
BC,113,16,105
BC,114,16,25
BC,115,16,90
BC,211,16,60
BC,212,16,200
BC,213,16,320
BC,221,16,175
BC,236,16,785
BC,237,16,435
BC,238,16,920
BC,311,16,280
BC,312,16,80
BC,315,16,55
BC,321,16,210
BC,322,16,75
BC,323,16,110
BC,325,16,195
BC,326,16,100
BC,327,16,85
BC,331,16,70
BC,332,16,205
BC,333,16,245
BC,334,16,175
BC,335,16,85
BC,336,16,155
BC,337,16,80
BC,339,16,225
BC,481,16,85
BC,483,16,65
BC,484,16,295
BC,485,16,80
BC,487,16,35
BC,488,16,270
BC,492,16,40
BC,493,16,55
BC,511,16,590
BC,562,16,105
BC,111,111,45
BC,113,111,40
BC,114,111,30
BC,115,111,15
BC,211,111,20
BC,212,111,50
BC,213,111,80
BC,221,111,120
BC,236,111,175
BC,237,111,130
BC,238,111,240
BC,311,111,40
BC,312,111,40
BC,314,111,15
BC,321,111,60
BC,322,111,25
BC,323,111,25
BC,325,111,50
BC,326,111,35
BC,327,111,25
BC,331,111,30
BC,332,111,50
BC,333,111,85
BC,334,111,40
BC,335,111,20
BC,336,111,20
BC,337,111,25
BC,339,111,55
BC,413,111,70
BC,414,111,65
BC,415,111,30
BC,416,111,65
BC,417,111,125
BC,418,111,55
BC,419,111,25
BC,441,111,350
BC,442,111,55
BC,443,111,35
BC,444,111,40
BC,445,111,60
BC,446,111,35
BC,448,111,45
BC,451,111,60
BC,452,111,30
BC,453,111,35
BC,454,111,40
BC,481,111,20
BC,483,111,20
BC,484,111,80
BC,485,111,15
BC,488,111,95
BC,511,111,75
BC,512,111,25
BC,515,111,25
BC,517,111,75
BC,518,111,20
BC,519,111,25
BC,522,111,840
BC,523,111,545
BC,524,111,280
BC,526,111,25
BC,531,111,310
BC,532,111,25
BC,541,111,1290
BC,551,111,125
BC,561,111,220
BC,611,111,385
BC,621,111,120
BC,622,111,45
BC,623,111,90
BC,624,111,140
BC,711,111,50
BC,713,111,100
BC,721,111,155
BC,722,111,100
BC,811,111,35
BC,812,111,30
BC,813,111,250
BC,911,111,165
BC,912,111,315
BC,913,111,235
BC,914,111,100
BC,111,112,30
BC,113,112,35
BC,211,112,20
BC,212,112,40
BC,213,112,55
BC,221,112,95
BC,236,112,95
BC,237,112,75
BC,238,112,130
BC,311,112,75
BC,312,112,15
BC,321,112,65
BC,322,112,45
BC,325,112,35
BC,326,112,15
BC,331,112,25
BC,333,112,15
BC,334,112,25
BC,336,112,40
BC,337,112,30
BC,339,112,20
BC,413,112,45
BC,414,112,35
BC,416,112,30
BC,417,112,35
BC,418,112,20
BC,441,112,35
BC,442,112,15
BC,443,112,35
BC,444,112,70
BC,445,112,65
BC,446,112,35
BC,448,112,55
BC,451,112,25
BC,452,112,70
BC,453,112,20
BC,481,112,20
BC,483,112,25
BC,484,112,70
BC,485,112,15
BC,488,112,50
BC,511,112,60
BC,512,112,25
BC,517,112,75
BC,522,112,195
BC,523,112,70
BC,524,112,145
BC,531,112,45
BC,541,112,690
BC,551,112,80
BC,561,112,325
BC,562,112,20
BC,611,112,480
BC,621,112,100
BC,622,112,65
BC,623,112,140
BC,624,112,140
BC,711,112,25
BC,712,112,20
BC,713,112,65
BC,721,112,105
BC,722,112,115
BC,811,112,15
BC,812,112,40
BC,813,112,220
BC,911,112,130
BC,912,112,170
BC,913,112,235
BC,914,112,30
BC,113,113,20
BC,212,113,15
BC,213,113,40
BC,221,113,90
BC,236,113,65
BC,237,113,65
BC,238,113,70
BC,311,113,50
BC,321,113,25
BC,322,113,35
BC,325,113,35
BC,326,113,20
BC,327,113,20
BC,331,113,20
BC,332,113,55
BC,333,113,35
BC,334,113,20
BC,335,113,35
BC,336,113,45
BC,413,113,75
BC,414,113,50
BC,416,113,85
BC,417,113,100
BC,418,113,55
BC,441,113,40
BC,442,113,15
BC,443,113,30
BC,444,113,45
BC,445,113,50
BC,446,113,30
BC,448,113,45
BC,451,113,20
BC,452,113,25
BC,453,113,30
BC,481,113,15
BC,488,113,50
BC,517,113,35
BC,522,113,25
BC,541,113,210
BC,551,113,50
BC,561,113,45
BC,611,113,35
BC,621,113,25
BC,622,113,40
BC,711,113,20
BC,713,113,15
BC,722,113,45
BC,811,113,25
BC,911,113,50
BC,912,113,120
BC,913,113,55
BC,111,114,30
BC,115,114,25
BC,211,114,15
BC,212,114,25
BC,213,114,30
BC,221,114,40
BC,236,114,55
BC,237,114,45
BC,238,114,60
BC,311,114,30
BC,321,114,20
BC,322,114,20
BC,332,114,15
BC,334,114,30
BC,336,114,15
BC,339,114,20
BC,413,114,65
BC,417,114,40
BC,418,114,30
BC,419,114,15
BC,441,114,35
BC,443,114,35
BC,444,114,35
BC,445,114,40
BC,446,114,30
BC,448,114,35
BC,452,114,30
BC,481,114,20
BC,483,114,20
BC,484,114,15
BC,488,114,40
BC,493,114,20
BC,511,114,25
BC,512,114,40
BC,517,114,25
BC,522,114,100
BC,523,114,100
BC,524,114,65
BC,531,114,100
BC,541,114,625
BC,551,114,105
BC,561,114,450
