occ_4_digit,occ_4_digit_description,occ_2_digit_47,assist,contact,customer,disease,face2face,outcover,outexposed,proximity,public,vehicleclosed,vehicleopen,wearcommon,wearspecial
12,Senior government managers and officials,0,2.1800001,4.8000002,4.3299999,1.72,4.98,1.65,2.21,2.73,2.9400001,3.04,1.6,2.01,1.35
13,"Senior managers - financial, communications and other business services",0,2.5599999,4.7950001,4.23,1.64,4.9650002,1.53,2.085,2.97,3.395,2.585,1.4549999,2.4299998,1.365
14,"Senior managers - health, education, social and community services and membership organizations",0,2.1800001,4.8000002,4.3299999,1.72,4.98,1.65,2.21,2.73,2.9400001,3.04,1.6,2.01,1.35
15,"Senior managers - trade, broadcasting and other services, n.e.c.",0,2.5599999,4.7950001,4.23,1.64,4.9650002,1.53,2.085,2.97,3.395,2.585,1.4549999,2.4299998,1.365
16,"Senior managers - construction, transportation, production and utilities",0,2.5599999,4.7950001,4.23,1.64,4.9650002,1.53,2.085,2.97,3.395,2.585,1.4549999,2.4299998,1.365
111,Financial managers,1,2.1799998,4.4849997,3.6900001,1.21,4.9549999,1.335,1.335,2.75,2.74,1.825,1.015,1.0650001,1.015
112,Human resources managers,1,2.9966667,4.6233335,2.7633333,1.1733333,4.7433333,1.28,1.2766666,2.5866666,2.4066668,1.88,1.1,1.3000001,1.0866667
113,Purchasing managers,1,2.6300001,4.5700002,3.76,1.05,4.6100001,1.35,1.48,2.6199999,2.6700001,2.3299999,1.14,1.71,1.1
114,Other administrative services managers,1,3.23,4.5,4.1199999,1.9299999,4.9000001,1.6900001,1.79,2.8,3.0599999,2.1400001,1.51,1.8200001,1.14
121,"Insurance, real estate and financial brokerage managers",1,2.46,4.5,3.6900001,1.08,4.73,2.1500001,3.1500001,3.04,3.8099999,3.04,1.12,1.6900001,1.15
122,"Banking, credit and other investment managers",1,2.3299999,4.6999998,4.21,1.15,4.98,1.5700001,1.5,3.0999999,3.3099999,1.8200001,1,1,1
124,"Advertising, marketing and public relations managers",1,2.4400001,4.7474999,4.3225002,1.1900001,4.7325001,1.7325001,1.9175,2.78,3.3099999,2.5899999,1.1,1.2925,1.02
125,Other business services managers,1,2.8924999,4.605,3.9349999,1.4825,4.7249999,1.6825,1.9775,3.0650001,2.915,2.6174998,1.2975,1.9575,1.35
131,Telecommunication carriers managers,1,2.9400001,4.79,4.1300001,1.5599999,4.9499998,1.41,1.96,3.21,3.8499999,2.1300001,1.3099999,2.8499999,1.38
132,Postal and courier services managers,1,2.95,4.96,4.54,1.67,4.9200001,1.22,2.8399999,3.23,3.3900001,3,1.22,1.38,1.01
211,Engineering managers,2,1.98,4.21,3.6500001,1.13,4.8800001,1.76,1.97,2.7,1.52,2.73,1.12,3.0599999,1.1799999
