Variable name,Labels,Description,Source
ind_3_digit,Subsector,"Industry code (NAICS), 3 digit",
occ_4_digit,Occupation,"Occupation code (NOC), 4 digit",
n_workers,Number of workers,Number of workers,Census
ind_2_digit,Sector,"Industry code (NAICS), 2 digit",
ind_3_digit_description,Subsector description,"Description for industry code (NAICS), 3 digit",
employment_avg_2019_ind3,"Average employment by subsector, 2019","Average employment by subsector, 2019",LFS
avg_workers_2019_bottom,"Average number of workers, bottom quartile","Average number of workers, bottom quartile, 2019",LFS
employment_jan_ind3,"Average employment by subsector, January","Average employment by subsector, January",LFS
employment_feb_ind3,"Average employment by subsector, February","Average employment by subsector, February",LFS
employment_mar_ind3,"Average employment by subsector, March","Average employment by subsector, March",LFS
employment_apr_ind3,"Average employment by subsector, April","Average employment by subsector, April",LFS
chg_employment_ind3,Change in employment by subsector,"Change in employment numbers, Feb to Apr 2020 by subsector",LFS
norm_influence,Industry centrality index,"Industry centrality measure, normalized to 1-100","VSE, SIOT"
subsector_gdp_share,Subsector share of GDP,Share of GDP in industry subsector (NAICS 3 digit),GDP by industry
ind_2_digit_description,Sector description,"Description for industry code (NAICS), 2 digit",
employment_avg_2019,Average employment 2019,"Average employment in industry class, 2019",LFS
employment_avg_2019_bottom,Average employment 2019 Bottom Quartile,"Average employment of bottom quartile in industry class, 2019",LFS
employment_bottom_feb,"Bottom quartile of employment, February",Bottom quartile of employment by sector in February,LFS
employment_bottom_mar,"Bottom quartile of employment, March",Bottom quartile of employment by sector in March,LFS
employment_bottom_apr,"Bottom quartile of employment, April",Bottom quartile of employment by sector in April,LFS
employment_jan,"Number of employed by subsector, January","Number of employed by subsector, January",LFS
employment_feb,"Number of employed by subsector, February","Number of employed by subsector, February",LFS
employment_mar,"Number of employed by subsector, March","Number of employed by subsector, March",LFS
employment_apr,"Number of employed by subsector, April","Number of employed by subsector, April",LFS
chg_employment_bottom,Change in employment bottom quartile,"Change in employment numbers, bottom quartile, Feb to March 2020",LFS
chg_employment,Change in employment,"Change in employment numbers, Feb to Mar 2020",LFS
sector_gdp_share,Sector GDP share,Share of GDP in industry sector (NAICS 2 digit),GDP by industry
occ_2_digit_40,Occupation code,Major Level of National Occupational Classification code,
occ_2_digit_40_description,Occupation code description,Major Level of National Occupational Classification description,
occ_4_digit_description,Occupation description,"Description for occupation code (NOC), 4 digit",
occ_2_digit_47,Parent occupation group,"Occupation code (NOC), 2 digit",StatsCan code (not used)
assist,Assisting and Caring for Others,Providing assistance or personal care to others.,ONET
contact,Job required social interaction,"How much does this job require the worker to be in contact (face-to-face, by telephone, or otherwise) with others in order to perform it?",ONET
customer,Provide a service to others,"Knowledge of principles and processes for providing customer and personal services including needs assessment techniques, quality service standards, alternative delivery systems, and customer satisfaction evaluation techniques",ONET
disease,Works with disease/infections,"Diseases/Infections (e.g., patient care, some laboratory work, sanitation control, etc.)",ONET
face2face,Amount of face-to-face contact,"How much does this job require the worker to be in contact (face-to-face, by telephone, or otherwise) with others in order to perform it?",ONET
outcover,Outdoors and undercover,"Outdoors, under cover (e.g., open shed)",ONET
outexposed,Outdoors and exposed,"Outdoors, exposed to all weather conditions",ONET
proximity,Physical Proximity,To what extent does this job require the worker to perform job tasks in close physical proximity to other people?,ONET
